ts	phase	decision	why	evidence	result
2026-09-01T02:39:27Z	contract	kept the first pull request to timing attribution and excluded optimization or consumer policy	measured ownership must precede a safe optimization	task genes-f8vc.1	contract recorded in Beads
2026-09-01T02:39:27Z	instrumentation	used Haxe --times as the only compiler clock and added request-local Genes child timers	the compiler already owns parsing typing DCE macro and custom-generator timing	src/genes/Generator.hx, src/genes/util/Timer.hx	larger repository compile exposes the new phase rows
2026-09-01T02:39:27Z	harness	built one machine-readable cold and warm-edit report with a small control and an approximately 19000-line generated scale case	stage attribution needs repeatable source output and toolchain evidence without embedding a downstream project	scripts/compile-stage-report.ts, tests/compile-stage-report/README.md	focused control passes
2026-09-01T02:39:27Z	ci-liveness	kept the four-hour aggregate acceptance stall outside the performance and active PR contracts	the same stall occurred on main before PR 182 and needs its own process-owner evidence	Bead genes-l8ux	separate P1 bug recorded
2026-09-01T02:39:27Z	scale-smoke	classified the first scale run as contended and non-baseline	host load stayed above 11 with several unrelated compilers active	/tmp/genes-scale-contended-smoke.json	INCONCLUSIVE until the owned background run completes
2026-09-01T02:39:27Z	harness-simplification	moved timed-versus-untimed byte equality to the small control instead of repeating four scale builds	output neutrality does not depend on source size and the scale builds add no stronger proof	scripts/compile-stage-report.ts	future scale runs reserve large builds for cold and warm measurements
2026-09-01T02:42:19Z	fixture-shape	changed the generic scale case to 150 generated workload modules and about 19000 authored lines	the real consumer has 18957 production Haxe lines and 152 generated TypeScript modules while compiler source must remain consumer-neutral	../caf-oracle/src, ../caf-oracle/src-gen	generic fixture now matches the relevant line and output-module scale
2026-09-01T02:47:21Z	contended-smoke	kept Haxe CPU-phase time separate from observed wall time	the background scale smoke used 2.60 seconds of Haxe timed work but 109.03 seconds of wall time under load 13-15 and nice 10	/tmp/genes-scale-contended-smoke.json	result is valid attribution evidence but not a normal-priority baseline
2026-09-01T02:47:21Z	fixture-shape	refined the scale case to 145 workload modules with 24 methods each	the first smoke proved Genes adds five support modules so this shape should produce about 19151 authored lines and 152 emitted modules	/tmp/genes-scale-contended-smoke.json	supersedes the prior 150-module approximation
2026-09-01T02:56:38Z	corrected-scale-smoke	accepted the corrected fixture as representative attribution evidence but not a latency baseline	it produced 19152 authored Haxe lines and 152 emitted modules; background wall time was about 42 times Haxe-accounted time under load above 12	/tmp/genes-scale-corrected-contended.json	cold Haxe total 2446 ms; warm-edit total 2322 ms; validation and implementation emission dominate
2026-09-01T03:06:56Z	validation-attribution	identified direct-binding planning as the first bounded optimization owner	direct binding validation used 717 of 718 ms cold and 683 of 684 ms warm while JSX validation used at most 1 ms	/tmp/genes-scale-validation-split-contended.json	created dependent P0 Bead genes-f8vc.2; instrumentation remains separate from optimization
2026-09-01T03:15:24Z	consumer-probe-retry	rejected the first caf-oracle probe as attribution evidence	/tmp traverses a macOS symlink and the later haxelib classpath selected the installed Genes source instead of the instrumented worktree	isolated command failed before publication after 400.47 s wall	no consumer files changed; retry uses explicit library-equivalent arguments and /private/tmp
2026-09-01T03:17:40Z	consumer-compatibility-boundary	kept caf-oracle out of the current-main benchmark corpus	its exact scoped hxnodejs 10 toolchain reaches a source overload failure in ModelControl.hx when current Genes replaces pinned Genes 1.41.6	/private/tmp/genes-caf-profile.ANwAJP	performance attribution continues with the compiler-neutral scale twin; compatibility is separate work
2026-09-01T05:19:11Z	review-fix	made measured edit alternation continue from the final warmup state	an even warmup count previously repeated edit b for the first measured sample and mislabeled a no-change request as warm-edit	yarn test:compile-stage-report at background priority	focused suite passed in 148.61 s with two warmups and first measured edit a
2026-09-01T05:52:00Z	hosted-regression	made each generated edit file newer than its prior whole-second timestamp	Haxe compiler-server invalidation can miss rapid a-b-a writes on a filesystem with coarse timestamps	PR 185 smoke job 99747376723	only EditState.ts differed between the first cold and warm trees; the harness now sets a monotonic modification time
2026-09-01T05:57:00Z	hosted-regression-green	accepted the monotonic edit timestamp as the smallest owner fix	the same focused command exercises two warmups and the first measured a edit without a delay	taskpolicy -b nice -n 10 yarn test:compile-stage-report	passed in 62.82s at background priority
2026-09-01T10:36:51Z	clock-authority	corrected process wall time to be the only absolute latency authority	Haxe 4.3.7 on macOS computes the Mach timebase conversion but returns unconverted ticks; haxe --macro Sys.sleep(2) --times reported 0.050s while process wall was 2.15s	Haxe extc timer source plus independent sleep probe	supersedes every earlier audit description that called raw Haxe values milliseconds or attributed the approximately 42x ratio solely to host contention
2026-09-01T10:36:51Z	report-schema	bumped the draft report schema to 2 and preserved Haxe values as explicitly labeled compiler-reported seconds	an inferred host-specific multiplier would hide the toolchain defect and make the report look more precise than its evidence	scripts/compile-stage-report.ts and tests/compile-stage-report/README.md	wall distributions use milliseconds; Haxe distributions support within-run shares and matched same-toolchain relative comparisons
2026-09-01T10:36:51Z	focused-verification	accepted the timing-unit correction as output-neutral report work	the parser contract and a real cold/warm compiler-server report exercise the changed schema and clock status	taskpolicy -b nice -n 10 yarn test:haxe-times; taskpolicy -b nice -n 10 yarn test:compile-stage-report	passed in 32.53s and 87.37s respectively
