ts	phase	decision	why	evidence	result
2026-08-01T00:20:00-06:00	contract	extend existing claim and routing authorities instead of adding another test framework	Genes already has mature compatibility evidence, routing, executable examples, and R0-R5 commands	genes-brxy.8	implementation started
2026-08-01T00:21:00-06:00	boundary	model affected surfaces separately from gate coverage	a broad backstop may cover many products without every covered product being changed	tests/testing-strategy/agent-test-routing.json	accepted invariant
2026-08-01T00:22:00-06:00	scope	leave test selection and CI topology unchanged	the selector is still in its observation window and this task improves evidence meaning, not execution volume	docs/TESTING_STRATEGY.md:84	no selector promotion
2026-08-01T01:05:00-06:00	scorecards	separate eight product claims and one example evidence portfolio	classic, TypeScript, declarations, HXX, browser, host tooling, ts2hx, and distribution have different faithful observers	tests/testing-strategy/agent-test-routing.json	nine validated scorecards
2026-08-01T01:20:00-06:00	examples	classify maintained examples by tier and claim ceiling	executable examples may support only the surfaces and observer level they actually run	examples/profiles.json	flagship and capability-showcase contracts validated
2026-08-01T01:35:00-06:00	workflow	require red-state command, independent oracle, tracer bullet, double lock, and distinct high-risk review	green CI alone cannot show that a test was sensitive or that its expected result was independent	.github/pull_request_template.md	new contributor evidence prompts added
2026-08-01T01:50:00-06:00	validation	prove broad coverage does not become affected behavior	compiler-core selection includes full-ci, which covers browser evidence, while browser remains absent from affected surfaces	scripts/test-test-plan-selection.ts	focused selector regression green
2026-08-01T02:20:00-06:00	review	remove host-tooling compatibility-bucket attribution	the npm-package-shapes bucket proves compiler extern/package fixtures, not the separate tooling package	independent final review finding 2	host tooling now cites only its focused gate
2026-08-01T02:22:00-06:00	review	make downstream proof ownership explicitly nonblocking-nightly	required main/release CI does not execute curated downstream contracts	independent final review finding 1	report no longer implies a cached downstream green result
2026-08-01T02:25:00-06:00	review	bump routing schema and enforce reciprocal example claims	the new required fields and example/scorecard relation must fail closed instead of looking like old schema 2	independent final review findings 3 and 4	schema 3 plus tier/product-only/reciprocal checks
2026-08-01T02:28:00-06:00	review	lock exact affected sets and represent compile-only examples honestly	partial inclusion checks and contradictory docs could allow future claim drift	independent final review findings 5 and 6	compiler/TS/React/browser/release/migration/unknown sets and optional runtime schema validated
2026-08-01T02:30:00-06:00	full-gate	run the complete existing CI backstop before final policy-only corrections	no semantic, package, framework, security, downstream, or compatibility gate may be weakened by this strategy PR	yarn test:ci	passed in 1618.54s; exact-head policy checks rerun afterward
2026-08-01T03:05:00-06:00	review	make compile-only and portfolio classifications fail closed	a compile-only example cannot provide runtime evidence, and the portfolio must contain every maintained example	independent final re-review findings 1 and 2	validator rejects runtime/Playwright for compile-only and requires exact portfolio inventory
2026-08-01T03:10:00-06:00	validation	rerun the changed policy owners after final re-review fixes	the final fixes changed only example and routing validation	yarn test:agent-test-routing; yarn test:examples --skip-todoapp	passed with 9 scorecards, exact selection sets, and both maintained profiles for the capability showcase
2026-08-01T03:15:00-06:00	review	accept the independent final re-review	both remaining manifest-integrity findings were checked after their fixes	behavior_scorecards_final_review	resolved with no new blockers and no reviewer edits
2026-08-01T03:45:00-06:00	full-gate	validate the stable final implementation through every existing required owner	test-policy changes must not weaken compiler, runtime, declaration, framework, package, security, release, downstream, or migration evidence	yarn test:ci	passed in 1629.26s; output-quality hashes stable and Todoapp Playwright passed in both profiles
2026-08-01T04:20:00-06:00	review	treat all three hosted Codex findings as current-contract violations	each could make affected-surface or example evidence claims broader or narrower than the actual risk	PR #113 review comments 3695202685, 3695202690, 3695202692	merge paused until all three were fixed and retested
2026-08-01T04:25:00-06:00	selector	separate broad gate selection from affected attribution in focused compiler subtrees	TypeScript/declaration and React/HXX files still need conservative backstops, but their focused rules own the product attribution	PR #113 comment 3695202690	compiler-core affected exclusions plus exact TS, declaration, and React tests
2026-08-01T04:28:00-06:00	claims	bind example claims to executable observers and treat the shared lockfile as cross-product risk	compile-only or non-browser examples cannot prove absent boundaries, while dependency resolution can change every product	PR #113 comments 3695202685 and 3695202692	tier/runtime/Playwright rejection controls plus an all-product lockfile rule
2026-08-01T05:05:00-06:00	full-gate	validate the reviewed fixes after rebasing onto current main	the merge candidate must include the latest canonical JSX formatting and every required evidence owner	yarn test:ci	passed in 1816.53s; both Todoapp Playwright profiles, output-quality hashes, compiler server, and ts2hx remained green
